Listing...
linux-compiler-gcc-6-x86/oldstable 4.9.258-1 amd64 [upgradable from: 4.9.168-1+deb9u3]
linux-headers-amd64/oldstable 4.9+80+deb9u13 amd64 [upgradable from: 4.9+80+deb9u7]
linux-image-amd64/oldstable 4.9+80+deb9u13 amd64 [upgradable from: 4.9+80+deb9u7]
linux-kbuild-4.9/oldstable 4.9.258-1 amd64 [upgradable from: 4.9.168-1+deb9u3]
linux-libc-dev/oldstable 4.9.258-1 amd64 [upgradable from: 4.9.168-1+deb9u3]
login/oldstable 1:4.4-4.1+deb9u1 amd64 [upgradable from: 1:4.4-4.1]
nfs-common/oldstable 1:1.3.4-2.1+deb9u1 amd64 [upgradable from: 1:1.3.4-2.1]
openssh-client/oldstable 1:7.4p1-10+deb9u7 amd64 [upgradable from: 1:7.4p1-10+deb9u6]
openssh-server/oldstable 1:7.4p1-10+deb9u7 amd64 [upgradable from: 1:7.4p1-10+deb9u6]
openssh-sftp-server/oldstable 1:7.4p1-10+deb9u7 amd64 [upgradable from: 1:7.4p1-10+deb9u6]
openssl/oldstable 1.1.0l-1~deb9u3 amd64 [upgradable from: 1.1.0j-1~deb9u1]
p11-kit/oldstable 0.23.3-2+deb9u1 amd64 [upgradable from: 0.23.3-2]
p11-kit-modules/oldstable 0.23.3-2+deb9u1 amd64 [upgradable from: 0.23.3-2]
passwd/oldstable 1:4.4-4.1+deb9u1 amd64 [upgradable from: 1:4.4-4.1]
patch/oldstable,oldstable 2.7.5-1+deb9u2 amd64 [upgradable from: 2.7.5-1+deb9u1]
perl/oldstable 5.24.1-3+deb9u7 amd64 [upgradable from: 5.24.1-3+deb9u5]
perl-base/oldstable 5.24.1-3+deb9u7 amd64 [upgradable from: 5.24.1-3+deb9u5]
perl-modules-5.24/oldstable,oldstable 5.24.1-3+deb9u7 all [upgradable from: 5.24.1-3+deb9u5]
python-apt/oldstable 1.4.3 amd64 [upgradable from: 1.4.0~beta3]
python-apt-common/oldstable,oldstable 1.4.3 all [upgradable from: 1.4.0~beta3]
python-cryptography/oldstable 1.7.1-3+deb9u2 amd64 [upgradable from: 1.7.1-3+deb9u1]
python-imaging/oldstable,oldstable 4.0.0-4+deb9u2 all [upgradable from: 4.0.0-4]
python-ldb/oldstable 2:1.1.27-1+deb9u2 amd64 [upgradable from: 2:1.1.27-1+deb9u1]
python-pil/oldstable 4.0.0-4+deb9u2 amd64 [upgradable from: 4.0.0-4]
python-pip-whl/oldstable,oldstable 9.0.1-2+deb9u2 all [upgradable from: 9.0.1-2+deb9u1]
python-samba/oldstable 2:4.5.16+dfsg-1+deb9u3 amd64 [upgradable from: 2:4.5.16+dfsg-1+deb9u2]
python2.7/oldstable 2.7.13-2+deb9u5 amd64 [upgradable from: 2.7.13-2+deb9u3]
python2.7-dev/oldstable 2.7.13-2+deb9u5 amd64 [upgradable from: 2.7.13-2+deb9u3]
python2.7-minimal/oldstable 2.7.13-2+deb9u5 amd64 [upgradable from: 2.7.13-2+deb9u3]
python3-pil/oldstable 4.0.0-4+deb9u2 amd64 [upgradable from: 4.0.0-4+deb9u1]
python3-pip/oldstable,oldstable 9.0.1-2+deb9u2 all [upgradable from: 9.0.1-2+deb9u1]
python3.5/oldstable 3.5.3-1+deb9u4 amd64 [upgradable from: 3.5.3-1+deb9u1]
python3.5-dev/oldstable 3.5.3-1+deb9u4 amd64 [upgradable from: 3.5.3-1+deb9u1]
python3.5-minimal/oldstable 3.5.3-1+deb9u4 amd64 [upgradable from: 3.5.3-1+deb9u1]
qt5-default/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
qt5-gtk-platformtheme/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
qt5-qmake/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
qtbase5-dev/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
qtbase5-dev-tools/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
rake/oldstable,oldstable 10.5.0-2+deb9u1 all [upgradable from: 10.5.0-2]
ruby2.3/oldstable 2.3.3-1+deb9u9 amd64 [upgradable from: 2.3.3-1+deb9u6]
ruby2.3-dev/oldstable 2.3.3-1+deb9u9 amd64 [upgradable from: 2.3.3-1+deb9u6]
samba-common/oldstable,oldstable 2:4.5.16+dfsg-1+deb9u3 all [upgradable from: 2:4.5.16+dfsg-1+deb9u2]
samba-common-bin/oldstable 2:4.5.16+dfsg-1+deb9u3 amd64 [upgradable from: 2:4.5.16+dfsg-1+deb9u2]
samba-libs/oldstable 2:4.5.16+dfsg-1+deb9u3 amd64 [upgradable from: 2:4.5.16+dfsg-1+deb9u2]
spice-vdagent/oldstable 0.17.0-1+deb9u1 amd64 [upgradable from: 0.17.0-1]
sqlite3/oldstable 3.16.2-5+deb9u3 amd64 [upgradable from: 3.16.2-5+deb9u1]
ssh/oldstable,oldstable 1:7.4p1-10+deb9u7 all [upgradable from: 1:7.4p1-10+deb9u6]
sudo/oldstable 1.8.19p1-2.1+deb9u3 amd64 [upgradable from: 1.8.19p1-2.1]
systemd/oldstable 232-25+deb9u12 amd64 [upgradable from: 232-25+deb9u11]
